Date,Open,High,Low,Close,Volume,Adj Close
2016-10-04,25.68,25.68,25.5,25.62,5758699.9017,25.62
2016-10-05,25.62,25.75,25.56,25.73,6042958.8903,25.73
2016-10-06,25.73,25.75,25.66,25.66,3067166.2717,25.66
2016-10-07,25.66,25.83,25.63,25.72,6040531.6986,25.72
2016-10-08,25.72,25.76,25.54,25.62,5309922.3811,25.62
2016-10-09,25.62,25.63,25.26,25.46,6901550.8413,25.46
2016-10-10,25.46,25.62,25.26,25.38,7616093.4298,25.38
2016-10-11,25.38,25.94,25.36,25.81,17315343.6396,25.81
2016-10-12,25.81,25.98,25.73,25.77,13000806.886,25.77
2016-10-13,25.77,26.77,25.7,26.48,22998117.8375,26.48
2016-10-14,26.48,26.54,26.11,26.27,15660431.8269,26.27
2016-10-15,26.27,26.4,26.21,26.29,7698666.9944,26.29
2016-10-16,26.28,26.44,26.12,26.23,13788337.9183,26.23
2016-10-17,26.23,26.38,26.13,26.19,7302735.171,26.19
2016-10-18,26.19,26.25,26.03,26.12,7498004.6469,26.12
2016-10-19,26.12,26.17,25.45,25.64,15924975.5807,25.64
2016-10-20,25.65,25.78,25.56,25.66,10742339.322,25.66
2016-10-21,25.66,25.77,25.57,25.77,9457103.5067,25.77
2016-10-22,25.77,26.81,25.77,26.64,24683830.3822,26.64
2016-10-23,26.64,27.25,26.52,26.84,30095673.2028,26.84
2016-10-24,26.84,26.86,26.57,26.66,16546161.4745,26.66
2016-10-25,26.65,26.91,26.56,26.74,14465608.5187,26.74
2016-10-26,26.74,27.12,26.6,26.97,22881497.4244,26.97
2016-10-27,26.97,28.1,26.93,27.41,43587830.7757,27.41
2016-10-28,27.41,27.71,26.9,27.14,24312828.4774,27.14
2016-10-29,27.14,28.2,27.04,27.8,38815435.0559,27.8
2016-10-30,27.79,28.08,27.52,27.8,34032400.9233,27.8
2016-10-31,27.8,27.84,27.21,27.59,25605123.7915,27.59
2016-11-01,27.59,28.53,27.3,28.14,28685674.9524,28.14
2016-11-02,28.15,28.56,27.7,27.92,15334692.7161,27.92
2016-11-03,27.92,29.01,26.68,26.97,54986963.8986,26.97
2016-11-04,26.97,27.02,25.37,25.94,46584839.2657,25.94
2016-11-05,25.94,26.31,25.68,26.06,16864285.3485,26.06
2016-11-06,26.06,26.5,26.0,26.13,17242542.543,26.13
2016-11-07,26.13,26.39,26.04,26.19,12447537.7648,26.19
2016-11-08,26.19,26.32,25.95,26.19,10935638.7627,26.19
2016-11-09,26.19,26.72,26.17,26.34,21173433.2678,26.34
2016-11-10,26.34,26.48,25.91,26.14,11376051.057,26.14
2016-11-11,26.14,26.35,26.11,26.18,6562070.2236,26.18
2016-11-12,26.19,26.26,25.65,25.82,11023305.2858,25.82
2016-11-13,25.82,26.3,25.2,26.3,23944595.5277,26.3
2016-11-14,26.3,27.1,26.22,26.73,28499102.7564,26.73
2016-11-15,26.73,27.65,26.65,27.46,31046161.7633,27.46
2016-11-16,27.46,28.3,26.92,27.9,58608949.2223,27.9
2016-11-17,27.9,28.55,26.85,27.89,64923952.0317,27.89
2016-11-18,27.89,28.19,27.51,27.72,32775264.7285,27.72
2016-11-19,27.72,28.09,27.53,27.87,22054714.8189,27.87
2016-11-20,27.88,28.05,27.18,27.38,23863499.4082,27.38
2016-11-21,27.38,27.69,27.17,27.59,23530930.2965,27.59
2016-11-22,27.59,27.97,27.2,27.82,33566027.2131,27.82
2016-11-23,27.83,27.94,27.45,27.52,22689443.0402,27.52
2016-11-24,27.52,27.71,27.32,27.36,21354244.0095,27.36
2016-11-25,27.36,27.49,27.06,27.29,18446924.3777,27.29
2016-11-26,27.28,27.47,26.95,27.11,14336641.6579,27.11
2016-11-27,27.11,27.47,27.09,27.39,14282609.5043,27.39
2016-11-28,27.39,27.45,27.21,27.34,7058143.3493,27.34
2016-11-29,27.34,27.39,26.88,27.11,7099783.8358,27.11
2016-11-30,27.11,27.45,27.05,27.29,7932352.6695,27.29
2016-12-01,27.29,27.59,27.28,27.54,12493609.7111,27.54
2016-12-02,27.54,27.96,27.52,27.7,12118698.3925,27.7
2016-12-03,27.71,27.72,27.45,27.51,3486701.0175,27.51
2016-12-04,27.5,27.65,27.46,27.55,12788931.7397,27.55
2016-12-05,27.55,27.71,19.65,24.8,94481808.3962,24.8
2016-12-06,24.8,24.96,23.88,24.64,57887582.9782,24.64
2016-12-07,24.63,25.38,24.31,25.12,32254230.2667,25.12
2016-12-08,25.12,27.15,24.88,25.87,51026554.2226,25.87
2016-12-09,25.86,25.86,25.53,25.7,21653108.6914,25.7
2016-12-10,25.69,25.9,25.59,25.73,16364893.8541,25.73
2016-12-11,25.74,25.74,25.11,25.41,23910784.982,25.41
2016-12-12,25.41,25.83,25.36,25.67,21616987.688,25.67
2016-12-13,25.68,25.76,25.22,25.49,21055342.5686,25.49
2016-12-14,25.49,25.54,24.97,25.14,18543498.7667,25.14
2016-12-15,25.14,25.75,25.13,25.45,23470989.7656,25.45
2016-12-16,25.45,25.73,25.45,25.55,18400671.7283,25.55
2016-12-17,25.55,26.5,25.48,25.8,16290689.9388,25.8
2016-12-18,25.8,27.02,25.76,25.86,25310188.8133,25.86
2016-12-19,25.86,26.03,24.72,25.73,18866612.7537,25.73
2016-12-20,25.73,25.8,25.56,25.65,12788589.4955,25.65
2016-12-21,25.66,26.07,25.57,25.97,31264704.2628,25.97
2016-12-22,25.98,26.5,25.69,26.18,51630557.3425,26.18
2016-12-23,26.18,30.44,25.93,29.54,78756004.5561,29.54
2016-12-24,29.54,33.7,28.15,31.8,188084664.8316,31.8
2016-12-25,31.79,32.76,29.12,30.45,137141784.3451,30.45
2016-12-26,30.45,31.43,29.84,30.4,109697634.0327,30.4
2016-12-27,30.4,32.29,30.22,31.86,90099392.3663,31.86
2016-12-28,31.86,33.0,30.77,31.76,114410695.2487,31.76
2016-12-29,31.76,32.74,31.51,32.04,80110472.4851,32.04
2016-12-30,32.04,32.41,29.15,31.3,93299420.9827,31.3
2016-12-31,31.29,31.44,30.09,30.65,81411032.0133,30.65
2017-01-01,30.66,31.5,30.52,31.45,57319129.1254,31.45
2017-01-02,31.45,34.16,31.32,33.42,99269826.3061,33.42
2017-01-03,33.43,34.12,32.28,32.58,114063897.4117,32.58
2017-01-04,32.59,34.1,32.42,33.39,100620573.9627,33.39
2017-01-05,33.39,35.38,28.33,29.98,127798681.8096,29.98
2017-01-06,29.98,30.59,25.0,27.05,97773640.0038,27.05
2017-01-07,27.05,28.01,25.0,27.52,83206602.2794,27.52
2017-01-08,27.52,28.38,27.12,27.9,69829562.1274,27.9
2017-01-09,27.92,28.02,27.2,27.59,42155845.8892,27.59
2017-01-10,27.59,31.85,27.44,31.1,108917095.1954,31.1
2017-01-11,31.1,32.67,25.5,26.21,118394436.5086,26.21
2017-01-12,26.21,27.28,25.1,27.17,69339028.8849,27.17
2017-01-13,27.17,27.63,25.75,27.12,41164504.6069,27.12
2017-01-14,27.11,27.55,26.56,26.89,27724752.3349,26.89
2017-01-15,26.89,26.94,26.12,26.39,22257413.6653,26.39
2017-01-16,26.4,26.81,26.29,26.49,5904833.6119,26.49
2017-01-17,26.49,27.28,26.37,26.81,10229584.1118,26.81
2017-01-18,26.81,27.25,25.7,25.98,6422711.8182,25.98
2017-01-19,25.98,27.22,25.82,26.97,5059989.6448,26.97
2017-01-20,26.97,27.12,26.35,26.93,4224687.9094,26.93
2017-01-21,26.93,27.18,26.6,26.99,4152964.4702,26.99
2017-01-22,26.99,27.07,26.05,26.32,4366426.8079,26.32
2017-01-23,26.32,26.61,26.21,26.4,2093485.431,26.4
2017-01-24,26.4,26.46,26.02,26.17,1200379.3719,26.17
2017-01-25,26.2,26.3,25.69,25.81,421781.0415,25.81
2017-01-26,25.81,26.05,25.42,26.01,275346.0412,26.01
2017-01-27,26.01,26.5,26.0,26.34,276779.5451,26.34
2017-01-28,26.34,26.6,26.3,26.44,105278.1671,26.44
2017-01-29,26.44,26.56,26.36,26.44,93642.2713,26.44
2017-01-30,26.44,26.7,26.4,26.56,158283.012,26.56
2017-01-31,26.56,28.13,26.53,27.84,1172746.3608,27.84
2017-02-01,27.84,28.66,27.6,27.96,812474.9095,27.96
2017-02-02,27.96,28.29,27.7,27.96,231340.8641,27.96
2017-02-03,27.96,28.52,27.8,28.14,571481.8425,28.14
2017-02-04,28.14,28.26,27.58,27.89,211410.781,27.89
2017-02-05,27.89,28.19,27.84,27.91,195565.5748,27.91
2017-02-06,27.91,28.15,27.85,28.04,145060.2189,28.04
2017-02-07,28.04,28.44,27.89,28.15,323698.3388,28.15
2017-02-08,28.15,28.35,27.5,27.79,397167.5212,27.79
2017-02-09,27.79,28.26,25.5,26.61,1463556.5586,26.61
2017-02-10,26.68,26.75,25.7,25.89,518780.7734,25.89
2017-02-11,25.89,26.33,25.89,26.1,131874.9027,26.1
2017-02-12,26.09,26.2,25.88,26.01,77559.3873,26.01
2017-02-13,26.01,26.11,25.57,25.66,153775.2295,25.66
2017-02-14,25.66,26.0,25.52,25.75,145732.0115,25.75
2017-02-15,25.74,25.79,25.6,25.75,41348.2699,25.75
2017-02-16,25.75,25.79,25.58,25.77,101182.3232,25.77
2017-02-17,25.77,26.12,25.57,26.0,173173.5404,26.0
2017-02-18,26.0,26.2,25.94,25.99,113856.7002,25.99
2017-02-19,25.95,26.0,25.74,25.76,65691.962,25.76
2017-02-20,25.79,26.03,25.7,25.96,53795.3822,25.96
2017-02-21,25.87,26.1,25.85,25.96,131691.2315,25.96
2017-02-22,25.98,26.4,25.93,26.12,190976.6455,26.12
2017-02-23,26.12,26.31,26.04,26.3,109624.6257,26.3
2017-02-24,26.3,26.67,26.1,26.2,389831.0382,26.2
2017-02-25,26.29,26.3,26.0,26.08,66728.9849,26.08
2017-02-26,26.0,26.2,25.8,26.12,72728.0978,26.12
2017-02-27,26.02,26.15,25.9,26.0,78582.0397,26.0
2017-02-28,25.99,26.0,25.7,25.75,99335.9764,25.75
2017-03-01,25.87,25.99,25.65,25.8,111945.8714,25.8
2017-03-02,25.9,25.96,25.6,25.73,123772.3491,25.73
2017-03-03,25.64,26.41,25.51,26.28,366579.9471,26.28
2017-03-04,26.28,26.31,26.01,26.05,75725.5147,26.05
2017-03-05,26.06,26.18,25.85,26.01,57416.0715,26.01
2017-03-06,26.0,26.3,25.7,25.9,158241.2573,25.9
2017-03-07,25.95,26.17,25.35,25.5,340237.7752,25.5
2017-03-08,25.5,25.75,25.25,25.6,210479.8603,25.6
2017-03-09,25.56,25.67,25.26,25.45,51287.8844,25.45
2017-03-10,25.45,25.8,25.24,25.61,132394.0742,25.61
2017-03-11,25.61,26.0,25.38,25.68,101136.9529,25.68
2017-03-12,25.56,25.8,25.5,25.71,37402.7319,25.71
2017-03-13,25.71,27.82,25.63,27.61,758605.6915,27.61
2017-03-14,27.65,27.85,26.58,26.7,427761.3171,26.7
2017-03-15,26.7,26.8,26.4,26.7,176010.0618,26.7
2017-03-16,26.7,27.4,26.6,27.19,334716.2155,27.19
2017-03-17,27.19,27.65,26.09,26.58,395496.7357,26.58
2017-03-18,26.58,26.96,25.77,25.83,407402.1783,25.83
2017-03-19,25.93,26.55,25.8,26.44,145215.3913,26.44
2017-03-20,26.43,26.69,26.31,26.67,132882.4608,26.67
2017-03-21,26.67,26.84,26.58,26.67,90914.4569,26.67
